"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","getAllRoles_EmptyList()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","GET ALL ROLES TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$GetAllRolesTests","getAllRoles_EmptyList"
"","1","INT001f_register_invalid_phone_digits()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.AuthIntegrationIT","com.phegon.FoodApp.integration.AuthIntegrationIT","INT001f_register_invalid_phone_digits"
"","3","createMenu_SaveFails()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","CREATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$CreateMenuTests","createMenu_SaveFails"
"","2","testUpdateOwnAccount_UpdateProfileImage()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_UpdateProfileImage"
"","1","INT012_05_categoryLinkedToMenu_cannotDelete()","","Thu Dec 11 09:10:15 UTC 2025","broken","Thu Dec 11 09:10:15 UTC 2025","","com.phegon.FoodApp.integration.CategoryIntegrationIT","com.phegon.FoodApp.integration.CategoryIntegrationIT","INT012_05_categoryLinkedToMenu_cannotDelete"
"","2","getMenus_WithCategoryAndSearch()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.MenuServiceImplTest.GetMenusTests","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenusTests","getMenus_WithCategoryAndSearch"
"","3","testRegisterMissingName()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterMissingName"
"","3","updateRole_FieldMappingCorrect()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","UPDATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$UpdateRoleTests","updateRole_FieldMappingCorrect"
"","13","updateCategory_SaveFails()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.UpdateCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$UpdateCategoryTests","updateCategory_SaveFails"
"","2","updateMenu_SaveFails()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_SaveFails"
"","174","testRegisterInvalidPhoneTooShort()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterInvalidPhoneTooShort"
"","4","testUpdatePayment_Failed()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_Failed"
"","211","testUpdatePayment_TransactionIdNull()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_TransactionIdNull"
"","1","updateMenu_MenuNotFound()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_MenuNotFound"
"","3","testLoginInvalidEmailFormat()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testLoginInvalidEmailFormat"
"","1","INT014_02_menuNotFound()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT014_02_menuNotFound"
"","4","testRegister_MultipleRoles_OneInvalid()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegister_MultipleRoles_OneInvalid"
"","2","INT009_04_customerForbidden()","","Thu Dec 11 09:10:15 UTC 2025","broken","Thu Dec 11 09:10:15 UTC 2025","","com.phegon.FoodApp.integration.CategoryIntegrationIT","com.phegon.FoodApp.integration.CategoryIntegrationIT","INT009_04_customerForbidden"
"","2","updateMenu_OldImageNull_NoDelete()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_OldImageNull_NoDelete"
"","43","testUpdateOwnAccount_NoOldImage()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_NoOldImage"
"","4","INT001a_register_success()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.AuthIntegrationIT","com.phegon.FoodApp.integration.AuthIntegrationIT","INT001a_register_success"
"","5","testGetOrderById_Success()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrderByIdTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrderByIdTests","testGetOrderById_Success"
"","1","deleteMenu_Success_NoImage()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","DELETE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$DeleteMenuTests","deleteMenu_Success_NoImage"
"","2","testDeactivateOwnAccount_UserAlreadyInactive()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testDeactivateOwnAccount_UserAlreadyInactive"
"","3","testGetPaymentById_UserNull()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testGetPaymentById_UserNull"
"","1232","deleteCategory_Success()","","Thu Dec 11 09:10:03 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.DeleteCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$DeleteCategoryTests","deleteCategory_Success"
"","1","testUpdateOwnAccount_UploadFileNull()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_UploadFileNull"
"","0","INT014_07_invalidPriceUpdate()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT014_07_invalidPriceUpdate"
"","13","getAllCategories_Success()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetAllCategoriesTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetAllCategoriesTests","getAllCategories_Success"
