"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","updateMenu_SaveFails()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_SaveFails"
"","2","getAllRoles_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","GET ALL ROLES TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$GetAllRolesTests","getAllRoles_Success"
"","2","testDeactivateOwnAccount_UserNotFound()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testDeactivateOwnAccount_UserNotFound"
"","4","testPlaceOrder_PaymentLinkCorrectInEmail()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_PaymentLinkCorrectInEmail"
"","4","createRole_SaveFails()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","CREATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$CreateRoleTests","createRole_SaveFails"
"","3","testRegisterMissingPhoneNumber()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterMissingPhoneNumber"
"","3","testInitializePayment_InvalidMetadata()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_InvalidMetadata"
"","15","addCategory_FieldMappingCorrect()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.AddCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$AddCategoryTests","addCategory_FieldMappingCorrect"
"","3","testInitializePayment_AlreadyCompleted()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_AlreadyCompleted"
"","2","testUpdateOwnAccount_EmptyImageUpload()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_EmptyImageUpload"
